Time to verify permission,Blockchain read time,Data reading request time,Ring verification time,Decryption with public key,Overall time
5.279999993490492e-05,8.999999977277184e-06,0.10724410000000262,0.0007374000000481828,0.026382900000044174,0.1669317000000774
6.499999994957761e-05,3.620000006776536e-05,0.12264729999992596,0.00048659999993105885,0.037976399999934074,0.18463289999999688
7.070000003750465e-05,1.059999999597494e-05,0.12328639999998359,0.0004910000000108994,0.031415600000059385,0.18985959999997704
9.420000003501627e-05,1.020000001972221e-05,0.10640459999990526,0.00060910000001968,0.027367300000037176,0.16626209999992625
0.00010409999993044039,9.299999987888441e-06,0.1070271999999477,0.000607899999977235,0.02878109999994649,0.1622916000001169
8.339999999407155e-05,1.020000001972221e-05,0.12426570000002357,0.0005138999999871885,0.026636000000053173,0.18511900000009973
9.710000006180053e-05,9.000000090964022e-06,0.14795490000005884,0.0006674999999631837,0.029516199999989112,0.20907769999996617
0.00011389999997390987,1.4500000020234438e-05,0.13497180000001663,0.0007084999999733554,0.029180499999938547,0.19717350000007627
9.529999999813299e-05,1.099999997222767e-05,0.1137436000000207,0.00048820000006344344,0.029180499999938547,0.1748162000000093
6.21000000364802e-05,1.2200000014672696e-05,0.1455971000000318,0.0005555000000185828,0.028329299999995783,0.1882690999998431
0.00013909999995576072,1.190000000406144e-05,0.09902219999992212,0.0004953000000114116,0.029600500000015018,0.13986620000002858
6.199999995715189e-05,1.0800000040944724e-05,0.14358289999995577,0.0007070999999996275,0.029031900000063615,0.18969349999997576
7.65999999430278e-05,9.999999974752427e-06,0.10897880000004534,0.0007080999999971027,0.030660299999908602,0.16865919999997914
0.00012200000003304012,1.7500000012660166e-05,0.1321448999999575,0.0005508000000418178,0.014737699999955112,0.1699765999999272
4.179999996267725e-05,1.0800000040944724e-05,0.10487910000006195,0.0005432999998902233,0.0271244000000479,0.17669320000004518
0.0001229000000648739,1.4699999951517384e-05,0.11628929999994853,0.0004987000000937769,0.02714020000007622,0.16646409999998468
6.540000003951718e-05,1.2500000025283953e-05,0.13338959999998679,0.0004956000000220229,0.03205979999995634,0.20025399999997262
6.089999999403517e-05,9.900000009110954e-06,0.10019130000000587,0.0005813000000216562,0.03068559999996978,0.15386709999995674
6.989999997131235e-05,1.110000005155598e-05,0.12428050000005442,0.0006756000000223139,0.02669560000003912,0.1960257000000638
8.9399999978923e-05,1.3599999988400668e-05,0.10868259999995189,0.00047840000001997396,0.0290304999999762,0.16228320000004715
